domain-category	doc_id
News	379
News	380
News	381
News	382
News	383
News	384
News	385
News	386
News	387
News	388
News	389
News	390
News	391
News	392
News	393
News	394
News	395
News	396
News	397
News	398
News	399
News	400
News	401
News	402
News	403
News	404
News	405
News	406
News	407
News	408
News	409
News	410
News	411
News	412
News	413
News	414
News	415
News	416
News	417
News	418
News	419
News	420
News	421
News	422
News	423
News	424
News	425
News	426
News	427
News	428
News	429
News	430
News	431
News	432
News	433
News	434
News	435
News	436
News	437
News	438
News	439
News	440
News	441
News	442
News	443
News	444
News	445
News	446
News	447
News	448
News	449
News	450
News	451
News	452
News	453
News	454
News	455
News	456
News	457
News	458
News	459
News	460
News	461
News	462
News	463
News	464
News	465
News	466
News	467
News	468
News	469
News	470
News	471
News	472
News	473
News	474
News	475
News	476
News	477
News	478
News	479
News	480
News	481
News	482
News	483
News	484
News	485
News	486
News	487
News	488
News	489
News	490
News	491
News	492
News	493
News	494
News	495
News	496
News	497
News	498
News	499
News	500
News	501
News	502
News	503
News	504
News	505
News	506
News	507
News	508
News	509
News	510
News	511
News	512
News	513
News	514
News	515
News	516
News	517
News	518
News	519
News	520
News	521
News	522
News	523
News	524
News	525
News	526
News	527
News	528
News	529
News	530
News	531
News	532
News	533
News	534
News	535
News	536
News	537
News	538
News	539
News	540
News	541
News	542
News	543
News	544
News	545
News	546
News	547
News	548
News	549
News	550
News	551
News	552
News	553
News	554
News	555
News	556
News	557
News	558
News	559
News	560
News	561
News	562
News	563
News	564
News	565
News	566
News	567
News	568
News	569
News	570
News	571
News	572
News	573
News	574
News	575
News	576
News	577
News	578
News	579
News	580
News	581
News	582
News	583
News	584
News	585
News	586
News	587
News	588
News	589
News	590
News	591
News	592
News	593
News	594
News	595
News	596
News	597
News	598
News	599
News	600
News	601
News	602
News	603
News	604
News	605
News	606
News	607
News	608
News	609
News	610
News	611
News	612
News	613
News	614
News	615
News	616
News	617
News	618
News	619
News	620
News	621
News	622
News	623
News	624
News	625
News	626
News	627
News	628
News	629
News	630
News	631
News	632
News	633
News	634
News	635
News	636
News	637
News	638
News	639
News	640
News	641
News	642
News	643
News	644
News	645
News	646
News	647
News	648
News	649
News	650
News	651
News	652
News	653
News	654
News	655
News	656
News	657
News	658
News	659
News	660
News	661
News	662
News	663
News	664
News	665
News	666
News	667
News	668
News	669
News	670
News	671
News	672
News	673
News	674
News	675
News	676
News	677
News	678
News	679
News	680
News	681
News	682
News	683
News	684
News	685
News	686
News	687
News	688
News	689
News	690
News	691
News	692
News	693
News	694
News	695
News	696
News	697
News	698
News	699
News	700
News	701
News	702
News	703
News	704
News	705
News	706
News	707
News	708
News	709
News	710
News	711
News	712
News	713
News	714
News	715
News	716
News	717
News	718
News	719
News	720
News	721
News	722
News	723
News	724
News	725
News	726
News	727
News	728
News	729
News	730
News	731
News	732
News	733
News	734
News	735
News	736
News	737
News	738
News	739
News	740
News	741
News	742
News	743
News	744
News	745
News	746
News	747
News	748
News	749
News	750
News	751
News	752
News	753
News	754
News	755
News	756
News	757
News	758
News	759
News	760
News	761
News	762
News	763
News	764
News	765
News	766
News	767
News	768
News	769
News	770
News	771
News	772
News	773
News	774
News	775
News	776
News	777
News	778
News	779
News	780
News	781
News	782
News	783
News	784
News	785
News	786
News	787
News	788
News	789
News	790
News	791
News	792
News	793
News	794
News	795
News	796
News	797
News	798
News	799
News	800
News	801
News	802
News	803
News	804
News	805
News	806
News	807
News	808
News	809
News	810
News	811
News	812
News	813
News	814
News	815
News	816
News	817
News	818
News	819
News	820
News	821
News	822
News	823
News	824
News	825
News	826
News	827
News	828
News	829
News	830
News	831
News	832
News	833
News	834
News	835
News	836
News	837
News	838
News	839
News	840
News	841
News	842
News	843
News	844
News	845
News	846
News	847
News	848
News	849
News	850
News	851
News	852
News	853
News	854
News	855
News	856
News	857
News	858
News	859
News	860
News	861
News	862
News	863
News	864
News	865
News	866
News	867
News	868
News	869
News	870
News	871
News	872
News	873
News	874
News	875
News	876
News	877
News	878
News	879
News	880
News	881
News	882
News	883
News	884
News	885
News	886
News	887
News	888
News	889
News	890
News	891
News	892
News	893
News	894
News	895
News	896
News	897
News	898
News	899
News	900
News	901
News	902
News	903
News	904
News	905
News	906
News	907
News	908
News	909
News	910
News	911
News	912
News	913
News	914
News	915
News	916
News	917
News	918
News	919
News	920
News	921
News	922
News	923
News	924
News	925
News	926
News	927
News	928
News	929
News	930
News	931
News	932
News	933
News	934
News	935
News	936
News	937
News	938
News	939
News	940
News	941
News	942
News	943
News	944
News	945
News	946
News	947
News	948
News	949
News	950
News	951
News	952
News	953
News	954
News	955
News	956
News	957
News	958
News	959
News	960
News	961
News	962
News	963
News	964
News	965
News	966
News	967
News	968
News	969
News	970
News	971
News	972
News	973
News	974
News	975
News	976
News	977
News	978
News	979
News	980
News	981
News	982
News	983
News	984
News	985
News	986
News	987
News	988
News	989
News	990
News	991
News	992
News	993
News	994
News	995
News	996
News	997
News	998
News	999
News	1000
News	1001
News	1002
News	1003
News	1004
News	1005
News	1006
News	1007
News	1008
News	1009
News	1010
News	1011
News	1012
News	1013
News	1014
News	1015
News	1016
News	1017
News	1018
News	1019
News	1020
News	1021
News	1022
News	1023
News	1024
News	1025
News	1026
News	1027
News	1028
News	1029
News	1030
News	1031
News	1032
News	1033
News	1034
News	1035
News	1036
News	1037
News	1038
News	1039
News	1040
News	1041
News	1042
News	1043
News	1044
News	1045
News	1046
News	1047
News	1048
News	1049
News	1050
News	1051
News	1052
News	1053
News	1054
News	1055
News	1056
News	1057
News	1058
News	1059
News	1060
News	1061
News	1062
News	1063
News	1064
News	1065
News	1066
News	1067
News	1068
News	1069
News	1070
News	1071
News	1072
News	1073
News	1074
News	1075
News	1076
News	1077
News	1078
News	1079
News	1080
News	1081
News	1082
News	1083
News	1084
News	1085
News	1086
News	1087
News	1088
News	1089
News	1090
News	1091
News	1092
News	1093
News	1094
News	1095
News	1096
News	1097
News	1098
News	1099
News	1100
News	1101
News	1102
News	1103
News	1104
News	1105
News	1106
News	1107
News	1108
News	1109
News	1110
News	1111
News	1112
News	1113
News	1114
News	1115
News	1116
News	1117
News	1118
News	1119
News	1120
News	1121
News	1122
News	1123
News	1124
News	1125
News	1126
News	1127
News	1128
News	1129
News	1130
News	1131
News	1132
News	1133
News	1134
News	1135
News	1136
News	1137
News	1138
News	1139
News	1140
News	1141
News	1142
News	1143
News	1144
News	1145
News	1146
News	1147
News	1148
News	1149
News	1150
News	1151
News	1152
News	1153
News	1154
News	1155
News	1156
News	1157
News	1158
News	1159
News	1160
News	1161
News	1162
News	1163
News	1164
News	1165
News	1166
News	1167
News	1168
News	1169
News	1170
News	1171
News	1172
News	1173
News	1174
News	1175
News	1176
News	1177
News	1178
News	1179
News	1180
News	1181
News	1182
News	1183
News	1184
News	1185
News	1186
News	1187
News	1188
News	1189
News	1190
News	1191
News	1192
News	1193
News	1194
News	1195
News	1196
News	1197
News	1198
