domain	doc_id
speech	ja-zh_CN_#_speech_#_vid_6KfZNvKcYJ0
speech	ja-zh_CN_#_speech_#_vid_6gTAuEIqKYQ
speech	ja-zh_CN_#_speech_#_vid_7xR0m_7JzJc
speech	ja-zh_CN_#_speech_#_vid_8WAoFJeLJls
speech	ja-zh_CN_#_speech_#_vid_BmxnbpzvXLU
speech	ja-zh_CN_#_speech_#_vid_D3LBxfjnjJc
speech	ja-zh_CN_#_speech_#_vid_DTneK2e-hEw
speech	ja-zh_CN_#_speech_#_vid_DvcQegdY_1M
speech	ja-zh_CN_#_speech_#_vid_FaKcMYGw5gI
speech	ja-zh_CN_#_speech_#_vid_HTkms5P6hPg
speech	ja-zh_CN_#_speech_#_vid_I6W4d6xjSYE
speech	ja-zh_CN_#_speech_#_vid_IPeGKfjweHI
speech	ja-zh_CN_#_speech_#_vid_JP-qu_SpTXM
speech	ja-zh_CN_#_speech_#_vid_KGRW9n8QKFY
speech	ja-zh_CN_#_speech_#_vid_KQ0fIwv8t0g
speech	ja-zh_CN_#_speech_#_vid_LDIIq0l23Ig
speech	ja-zh_CN_#_speech_#_vid_LI2sC3rVLhI
speech	ja-zh_CN_#_speech_#_vid_MXVlOlOBoIQ
speech	ja-zh_CN_#_speech_#_vid_MXhCRRRrmKw
speech	ja-zh_CN_#_speech_#_vid_PLHhpvnpifk
speech	ja-zh_CN_#_speech_#_vid_PuYSN3vD-MQ
speech	ja-zh_CN_#_speech_#_vid_QHuMfJYw61M
speech	ja-zh_CN_#_speech_#_vid_R4EVn6p1BZY
speech	ja-zh_CN_#_speech_#_vid_RNeeSOBzoBo
speech	ja-zh_CN_#_speech_#_vid_SZSH6XKwwlE
speech	ja-zh_CN_#_speech_#_vid_UE1yTHQrHrg
speech	ja-zh_CN_#_speech_#_vid_V6aGeHo5oGA
speech	ja-zh_CN_#_speech_#_vid_VwxE6wxj_D0
speech	ja-zh_CN_#_speech_#_vid_bJVW_2SmGik
speech	ja-zh_CN_#_speech_#_vid_d2H_nqntNpc
speech	ja-zh_CN_#_speech_#_vid_dIDSLIOuUsY
speech	ja-zh_CN_#_speech_#_vid_ez6Cb-_obnM
speech	ja-zh_CN_#_speech_#_vid_f_fcQp7SEiI
speech	ja-zh_CN_#_speech_#_vid_guadxZj3eas
speech	ja-zh_CN_#_speech_#_vid_kZyJ-AYWHng
speech	ja-zh_CN_#_speech_#_vid_l4udH2SvZHg
speech	ja-zh_CN_#_speech_#_vid_lRCh3HUw8rc
speech	ja-zh_CN_#_speech_#_vid_ltcqxEV9lQM
speech	ja-zh_CN_#_speech_#_vid_mClwoZcGfW8
speech	ja-zh_CN_#_speech_#_vid_nXu2QC7P44k
speech	ja-zh_CN_#_speech_#_vid_pLTN1h5k1Xg
speech	ja-zh_CN_#_speech_#_vid_pNvm2QrAy70
speech	ja-zh_CN_#_speech_#_vid_qXDnLIDwtpg
speech	ja-zh_CN_#_speech_#_vid_qzGgBkcncmQ
speech	ja-zh_CN_#_speech_#_vid_r2_3_NsFsRk
speech	ja-zh_CN_#_speech_#_vid_sDGZ5l4PQ1I
speech	ja-zh_CN_#_speech_#_vid_sK5_cmPAOxE
speech	ja-zh_CN_#_speech_#_vid_sRzQId83Vs4
speech	ja-zh_CN_#_speech_#_vid_ttTFchfRx98
speech	ja-zh_CN_#_speech_#_vid_uul-WLXzPAg
speech	ja-zh_CN_#_speech_#_vid_wxGQv6vAdZg
speech	ja-zh_CN_#_speech_#_vid_xnH5Iwus_7k
speech	ja-zh_CN_#_speech_#_vid_z0RQegQYAvQ
speech	ja-zh_CN_#_speech_#_vid_zXmCEgbsZHc
speech	ja-zh_CN_#_speech_#_vid_zqtDPNScOgc
